year,make,model,trim,trim_id,tc_body,msrp,invoice,pct_discount,n_ind_transactions
2012,Ford,Focus,4dr Sedan S,330541,Sedan,17295,16430,0.04416595,-1
2012,Ford,Focus,4dr Sedan SE,330542,Sedan,18295,17175,0.0474744,29
2012,Ford,Focus,4dr Sedan SEL,330543,Sedan,21295,19905,0.04633945,29
2012,Ford,Focus,4dr Sedan Titanium,330544,Sedan,22995,21452,0.04657826,29
2012,Ford,Focus,5dr HB SE,330545,Hatchback,19095,17903,0.04860885,39
2012,Ford,Focus,5dr HB SEL,330546,Hatchback,22095,20633,0.04906259,39
2012,Ford,Focus,5dr HB Titanium,330547,Hatchback,23495,21907,0.04925362,39
2012,Mazda,Mazda5,4dr Wagon Man Sport,330660,Van,20420,19566,0.07866704,46
2012,Mazda,Mazda5,4dr Wagon Auto Sport,330661,Van,21420,20521,0.07865926,46
2012,Mazda,Mazda5,4dr Wagon Auto Touring,330662,Van,22420,21477,0.07865184,46
2012,Mazda,Mazda5,4dr Wagon Auto Grand Touring,330663,Van,24820,23770,0.07863531,46
2012,Volvo,S60,FWD 4dr Sedan T5,330807,Sedan,32175,30297,0.1070535,14
2012,Volvo,S60,FWD 4dr Sedan T5 w/Moonroof,330808,Sedan,32175,30297,0.1070535,14
2012,Volvo,S60,AWD 4dr Sedan T6,330809,Sedan,39325,37018,0.10916226,14
2012,Volvo,S60,AWD 4dr Sedan T6 w/Moonroof,330810,Sedan,39325,37018,0.10916226,14
2012,Nissan,GT-R,2dr Coupe Premium,330858,Coupe,90950,85648,0.04930095,1
2012,Nissan,GT-R,2dr Coupe Black Edition,330859,Coupe,96100,90492,0.05020285,1
2012,Ford,Mustang,2dr Coupe Boss 302,330897,Coupe,41105,37794,0.062082,4
2012,Ford,Mustang,2dr Coupe GT Premium,330898,Coupe,34505,31854,0.06703293,23
2012,Ford,Mustang,2dr Coupe GT,330899,Coupe,30505,28254,0.0666498,23
2012,Ford,Mustang,2dr Coupe V6 Premium,330900,Coupe,27105,25194,0.06628235,23
2012,Ford,Mustang,2dr Coupe V6,330901,Coupe,23105,22040,0.06578588,23
2012,Ford,Mustang,2dr Coupe Shelby GT500,330902,Coupe,49605,44956,0.06515974,6
2012,Ford,Mustang,2dr Conv V6,330903,Convertible,28105,26640,0.05516163,14
2012,Ford,Mustang,2dr Conv V6 Premium,330904,Convertible,32105,29694,0.05734045,15
2012,Ford,Mustang,2dr Conv GT,330905,Convertible,35505,32754,0.0589887,15
2012,Ford,Mustang,2dr Conv GT Premium,330906,Convertible,39505,36354,0.06073671,15
2012,Ford,Mustang,2dr Conv Shelby GT500,330907,Convertible,54605,49406,0.06603705,1
2012,Infiniti,M37,4dr Sedan RWD,330916,Sedan,48595,45058,0.11401959,9
2012,Infiniti,M37,4dr Sedan AWD,330917,Sedan,50745,47044,0.11355141,9
2012,Infiniti,M56,4dr Sedan RWD,330918,Sedan,60095,55682,0.1174976,1
2012,Infiniti,M56,4dr Sedan AWD,330919,Sedan,62595,57991,0.11698794,1
2012,Infiniti,M35h,4dr Sedan RWD Hybrid,330920,Sedan,54595,50601,0.11592592,-1
2012,Volkswagen,CC,4dr Sedan Man Sport,330938,Sedan,29335,28165,0.04007043,3
2012,Volkswagen,CC,4dr Sedan DSG Sport,330940,Sedan,30435,29221,0.04002205,3
2012,Volkswagen,CC,4dr Sedan Man R-Line,330942,Sedan,31280,30031,0.04000462,3
2012,Volkswagen,CC,4dr Sedan DSG R-Line,330944,Sedan,32380,31086,0.04020684,3
2012,Volkswagen,CC,4dr Sedan Lux,330946,Sedan,32240,30951,0.04050204,3
2012,Volkswagen,CC,4dr Sedan Lux Plus,330948,Sedan,34685,33296,0.04127774,3
2012,Volkswagen,CC,4dr Sedan Lux Limited,330950,Sedan,35485,34063,0.04153581,3
2012,Volkswagen,CC,4dr Sedan Executive 4Motion *Ltd Avail*,330952,Sedan,41210,39554,0.03787849,3
2012,Volkswagen,Eos,2dr Conv Komfort SULEV,330953,Convertible,35120,33747,0.09338847,-1
2012,Volkswagen,Eos,2dr Conv Executive SULEV,330954,Convertible,40355,38772,0.09336587,-1
2012,Volkswagen,Eos,2dr Conv Lux SULEV,330955,Convertible,38355,36852,0.09337414,-1
2012,Nissan,NV,Standard Roof 1500 V6 S,331109,Van,26045,24555,0.02808624,172
2012,Nissan,NV,Standard Roof 1500 V6 SV,331110,Van,27645,26059,0.02807655,172
2012,Nissan,NV,High Roof 2500 V6 S,331117,Van,29595,27893,0.02806547,172
2012,Nissan,NV,High Roof 2500 V6 SV,331118,Van,31195,29398,0.0280569,172
2012,Nissan,NV,High Roof 2500 V8 S,331119,Van,30495,28740,0.02806059,172
2012,Nissan,NV,High Roof 2500 V8 SV,331120,Van,32095,30245,0.02805228,172
2012,Nissan,NV,High Roof 3500 V8 S,331121,Van,32195,30339,0.02805177,172
2012,Nissan,NV,High Roof 3500 V8 SV,331122,Van,33795,31844,0.02804389,172
2012,Nissan,NV,Standard Roof 2500 V6 S,331123,Van,27045,25495,0.02808012,172
2012,Nissan,NV,Standard Roof 2500 V6 SV,331124,Van,28645,27000,0.02807077,172
2012,Nissan,NV,Standard Roof 2500 V8 S,331125,Van,27945,26342,0.02807479,172
2012,Nissan,NV,Standard Roof 2500 V8 SV,331126,Van,29545,27846,0.02806574,172
2012,Nissan,NV,Standard Roof 3500 V8 S,331127,Van,29645,27940,0.02806519,172
2012,Nissan,NV,Standard Roof 3500 V8 SV,331128,Van,31245,29445,0.02805664,172
2012,Chevrolet,Equinox,FWD 4dr LS,331210,SUV,24355,23178.5,0.02537701,51
2012,Chevrolet,Equinox,FWD 4dr LT w/1LT,331211,SUV,25875,24622.5,0.02556525,51
2012,Chevrolet,Equinox,FWD 4dr LT w/2LT,331212,SUV,27695,26351.5,0.02577661,51
2012,Chevrolet,Equinox,FWD 4dr LTZ,331213,SUV,30045,28584,0.02602985,51
2012,Chevrolet,Equinox,AWD 4dr LS,331214,SUV,26105,24841,0.02488589,51
2012,Chevrolet,Equinox,AWD 4dr LT w/1LT,331215,SUV,27625,26285,0.02506186,51
2012,Chevrolet,Equinox,AWD 4dr LT w/2LT,331216,SUV,29445,28014,0.02526025,51
2012,Chevrolet,Equinox,AWD 4dr LTZ,331217,SUV,31795,30246.5,0.02549901,51
2012,Chevrolet,Traverse,FWD 4dr LS,331218,SUV,30485,29002,0.02428501,119
